"imagem";"index";"mediana";"mean global";"desvio";"mean blue";"desv blue";"mean green";"desv green";"mean red";"desv red";"R/G mean";"R/B mean";"R/G desv";"R/B desv"
"fire_0248.jpg";67;"93,000";"95,046";"50,094";"44,155";"19,116";"99,918";"26,667";"141,064";"41,478";"1,412";"3,195";"1,555";"2,170"
"fire_0248.jpg";68;"103,000";"95,198";"42,408";"45,189";"16,935";"106,163";"20,044";"134,242";"23,688";"1,264";"2,971";"1,182";"1,399"
"fire_0248.jpg";69;"91,000";"86,513";"36,174";"45,069";"15,133";"99,670";"19,032";"114,798";"25,369";"1,152";"2,547";"1,333";"1,676"
"fire_0248.jpg";70;"150,000";"150,569";"21,699";"150,613";"20,749";"154,464";"19,678";"146,630";"23,750";"0,949";"0,974";"1,207";"1,145"
"fire_0248.jpg";71;"75,000";"86,449";"52,942";"93,291";"41,782";"83,742";"57,924";"82,314";"56,890";"0,983";"0,882";"0,982";"1,362"
"fire_0248.jpg";72;"89,000";"89,354";"33,262";"100,358";"30,182";"89,526";"35,667";"78,178";"29,833";"0,873";"0,779";"0,836";"0,988"
"fire_0248.jpg";73;"114,000";"125,796";"59,544";"135,296";"63,825";"125,706";"60,369";"116,387";"52,340";"0,926";"0,860";"0,867";"0,820"
"fire_0248.jpg";74;"104,000";"116,332";"54,168";"118,771";"64,951";"118,922";"51,760";"111,304";"43,208";"0,936";"0,937";"0,835";"0,665"
"fire_0248.jpg";75;"100,000";"102,399";"41,199";"70,027";"28,565";"104,168";"25,157";"133,002";"40,689";"1,277";"1,899";"1,617";"1,424"
"fire_0248.jpg";76;"113,000";"107,194";"52,787";"48,573";"19,798";"115,432";"24,418";"157,578";"36,447";"1,365";"3,244";"1,493";"1,841"
"fire_0248.jpg";77;"99,000";"96,863";"48,567";"44,048";"16,808";"105,150";"23,835";"141,390";"37,213";"1,345";"3,210";"1,561";"2,214"
"fire_0248.jpg";78;"85,000";"83,143";"37,466";"44,189";"20,389";"93,363";"23,466";"111,877";"28,236";"1,198";"2,532";"1,203";"1,385"
"fire_0248.jpg";79;"102,000";"97,217";"43,009";"47,040";"15,817";"110,075";"19,954";"134,536";"28,727";"1,222";"2,860";"1,440";"1,816"
"fire_0248.jpg";80;"120,000";"118,995";"26,779";"127,992";"20,981";"121,530";"25,466";"107,464";"29,021";"0,884";"0,840";"1,140";"1,383"
"fire_0248.jpg";81;"50,000";"73,780";"54,022";"81,226";"44,149";"69,602";"60,094";"70,514";"55,778";"1,013";"0,868";"0,928";"1,263"
"fire_0248.jpg";82;"44,000";"53,540";"40,798";"51,990";"22,856";"43,528";"35,201";"65,101";"54,733";"1,496";"1,252";"1,555";"2,395"
"fire_0248.jpg";83;"74,000";"76,892";"42,264";"47,683";"23,764";"79,715";"37,016";"103,278";"43,204";"1,296";"2,166";"1,167";"1,818"
"fire_0248.jpg";84;"85,000";"83,828";"31,559";"52,042";"20,207";"95,059";"21,545";"104,384";"23,588";"1,098";"2,006";"1,095";"1,167"
"fire_0248.jpg";85;"110,000";"103,818";"44,034";"54,258";"21,649";"116,179";"25,209";"141,016";"26,835";"1,214";"2,599";"1,065";"1,240"
"fire_0248.jpg";86;"107,000";"100,623";"45,493";"48,373";"21,201";"112,214";"23,220";"141,283";"26,507";"1,259";"2,921";"1,142";"1,250"
"fire_0248.jpg";87;"93,000";"88,988";"41,982";"42,440";"18,355";"99,646";"21,634";"124,878";"30,233";"1,253";"2,942";"1,397";"1,647"
"fire_0248.jpg";88;"83,000";"79,577";"36,023";"41,904";"19,401";"88,459";"22,750";"108,368";"25,923";"1,225";"2,586";"1,140";"1,336"
"fire_0248.jpg";89;"65,000";"70,492";"38,229";"39,070";"20,111";"79,901";"28,140";"92,504";"40,346";"1,158";"2,368";"1,434";"2,006"
"fire_0248.jpg";90;"57,000";"63,714";"35,848";"78,437";"32,761";"58,157";"38,520";"54,549";"31,089";"0,938";"0,695";"0,807";"0,949"
"fire_0248.jpg";91;"58,000";"72,284";"55,141";"59,256";"36,475";"63,395";"46,345";"94,202";"70,102";"1,486";"1,590";"1,513";"1,922"
"fire_0248.jpg";92;"74,000";"81,756";"50,204";"40,950";"23,025";"81,011";"32,037";"123,307";"51,113";"1,522";"3,011";"1,595";"2,220"
"fire_0248.jpg";93;"64,000";"67,358";"34,827";"46,254";"26,328";"73,232";"32,507";"82,589";"34,307";"1,128";"1,786";"1,055";"1,303"
"fire_0248.jpg";94;"79,000";"78,945";"34,410";"50,514";"24,541";"89,997";"28,957";"96,325";"29,644";"1,070";"1,907";"1,024";"1,208"
"fire_0248.jpg";95;"83,000";"83,340";"39,889";"48,272";"26,380";"93,451";"30,905";"108,296";"34,168";"1,159";"2,243";"1,106";"1,295"
"fire_0248.jpg";96;"87,000";"85,402";"41,310";"44,056";"22,397";"95,573";"26,829";"116,578";"33,367";"1,220";"2,646";"1,244";"1,490"
"fire_0248.jpg";97;"96,000";"91,718";"44,825";"41,582";"17,545";"98,099";"22,385";"135,474";"27,385";"1,381";"3,258";"1,223";"1,561"
"fire_0248.jpg";98;"89,000";"86,546";"41,534";"41,534";"18,823";"94,707";"23,871";"123,395";"28,292";"1,303";"2,971";"1,185";"1,503"
"fire_0248.jpg";99;"83,000";"82,774";"40,003";"40,755";"15,707";"90,723";"22,672";"116,843";"32,413";"1,288";"2,867";"1,430";"2,064"
