"index";"mediana";"mean global";"desvio";"mean blue";"desv blue";"mean green";"desv green";"mean red";"desv red";"R/G mean";"R/B mean";"R/G desv";"R/B desv"
209;"206,000";"209,090";"8,017";"202,940";"1,355";"218,140";"4,852";"206,190";"6,270";"0,945";"1,016";"1,292";"152,154"
210;"206,000";"208,980";"8,233";"202,830";"1,697";"218,030";"5,298";"206,080";"6,652";"0,945";"1,016";"1,256";"121,411"
211;"207,000";"209,977";"8,336";"204,600";"1,510";"219,140";"4,722";"206,190";"7,527";"0,941";"1,008";"1,594";"136,553"
212;"207,000";"209,437";"8,156";"204,330";"1,650";"218,320";"4,505";"205,660";"7,569";"0,942";"1,007";"1,680";"124,674"
213;"207,000";"209,250";"7,724";"204,500";"2,869";"217,000";"5,464";"206,250";"7,019";"0,950";"1,009";"1,285";"71,894"
214;"208,000";"209,603";"8,043";"204,770";"3,361";"217,660";"5,586";"206,380";"7,274";"0,948";"1,008";"1,302";"61,402"
215;"207,000";"208,813";"7,467";"204,820";"1,813";"216,880";"5,933";"204,740";"5,583";"0,944";"1,000";"0,941";"112,918"
216;"207,000";"208,523";"8,261";"205,610";"1,303";"217,470";"4,746";"202,490";"7,456";"0,931";"0,985";"1,571";"155,399"
217;"208,000";"208,663";"8,522";"205,650";"1,987";"217,470";"5,377";"202,870";"8,051";"0,933";"0,986";"1,497";"102,107"
218;"207,000";"208,117";"8,098";"204,950";"2,071";"216,700";"5,025";"202,700";"7,359";"0,935";"0,989";"1,464";"97,893"
219;"207,000";"207,597";"8,030";"204,430";"2,056";"216,180";"4,898";"202,180";"7,223";"0,935";"0,989";"1,475";"98,360"
220;"206,000";"206,727";"8,143";"203,890";"2,092";"215,330";"5,223";"200,960";"7,208";"0,933";"0,986";"1,380";"96,045"
221;"205,000";"205,993";"8,261";"204,510";"1,718";"214,710";"5,645";"198,760";"6,277";"0,926";"0,972";"1,112";"115,725"
222;"204,000";"203,773";"8,361";"202,780";"3,670";"211,740";"5,998";"196,800";"6,870";"0,929";"0,971";"1,145";"53,619"
223;"205,000";"205,177";"10,512";"196,230";"7,109";"211,950";"7,838";"207,350";"9,427";"0,978";"1,057";"1,203";"29,167"
224;"208,000";"210,117";"14,992";"197,790";"7,136";"217,490";"12,349";"215,070";"15,492";"0,989";"1,087";"1,255";"30,138"
225;"57,000";"55,457";"13,190";"49,290";"10,746";"62,610";"9,519";"54,470";"15,024";"0,870";"1,105";"1,578";"5,069"
226;"62,000";"62,300";"11,993";"59,190";"11,983";"66,660";"10,406";"61,050";"12,221";"0,916";"1,031";"1,174";"5,095"
227;"64,000";"63,147";"7,937";"61,240";"7,777";"67,070";"6,694";"61,130";"7,784";"0,911";"0,998";"1,163";"7,860"
228;"71,000";"72,333";"23,359";"67,850";"22,434";"76,450";"22,684";"72,700";"24,123";"0,951";"1,071";"1,063";"3,241"
229;"79,500";"116,190";"70,928";"107,280";"67,667";"123,330";"71,170";"117,960";"72,902";"0,956";"1,100";"1,024";"1,743"
230;"204,000";"163,023";"77,553";"151,040";"73,424";"172,080";"77,294";"165,950";"80,274";"0,964";"1,099";"1,039";"2,260"
231;"205,000";"166,260";"75,593";"151,980";"71,903";"175,690";"76,010";"171,110";"76,676";"0,974";"1,126";"1,009";"2,380"
232;"222,000";"188,893";"64,205";"173,360";"61,021";"198,840";"64,196";"194,480";"64,425";"0,978";"1,122";"1,004";"3,187"
233;"220,000";"201,397";"45,648";"188,280";"42,042";"210,390";"45,934";"205,520";"45,868";"0,977";"1,092";"0,999";"4,888"
234;"226,000";"222,413";"14,325";"206,300";"8,714";"233,120";"7,659";"227,820";"8,803";"0,977";"1,104";"1,149";"26,145"
235;"227,000";"221,420";"13,437";"204,480";"6,102";"231,760";"4,962";"228,020";"6,510";"0,984";"1,115";"1,312";"37,370"
236;"227,000";"222,680";"15,123";"203,720";"6,924";"232,620";"6,069";"231,700";"7,857";"0,996";"1,137";"1,295";"33,463"
237;"227,000";"223,783";"16,917";"204,720";"10,677";"234,200";"9,372";"232,430";"10,488";"0,992";"1,135";"1,119";"21,769"
238;"228,500";"222,300";"24,481";"202,280";"13,941";"231,740";"21,701";"232,880";"23,041";"1,005";"1,151";"1,062";"16,705"
239;"231,000";"225,660";"20,390";"201,700";"13,082";"235,520";"10,848";"239,760";"9,402";"1,018";"1,189";"0,867";"18,328"
